0,8.0,8.0,0,0
1,4.4,4.4,1.8,1.8
2,7.2,5.2,1.3,1.6
3,4.2,9.0,1.1,7.5
4,9.0,7.0,7.0,0.9
5,11.0,4.0,2.1,0.3
6,6.6,6.8,0,1.1
7,10.0,10.0,1.5,0.6
8,11.0,9.0,1.6,0.5
9,5.2,11.8,1.4,1.9
10,8.0,13.2,1.3,0
11,11.0,13.0,5.7,0.5
12,7.0,10.2,1.6,1.5
13,12.4,7.0,0,1.6
14,12.4,11.4,1.5,0.1
15,12.4,4.8,0.8,0.6
16,4.2,7.2,1.9,1.7
17,6.6,8.8,2.0,0.1
18,1.8,11.2,0,2.2
19,12.4,9.6,1.5,1.9
20,13.2,2.8,2.2,0
21,8.8,2.6,1.4,0.3
22,5.2,2.6,1.2,2.3
23,2.2,5.6,0.6,1.0
24,1.4,8.6,1.3,1.5
25,3.4,12.8,4.4,8.3
26,8.2,9.2,1.8,0.2
27,11.0,6.8,1.7,1.9
28,7.0,3.2,1.4,0.4
29,10.4,5.2,1.3,0.1
30,8.6,5.2,2.2,0
31,6.2,15.2,1.2,0.9
32,4.4,10.6,1.4,0.3
33,5.2,5.8,1.3,2.0
34,10.0,8.0,1.9,1.8
35,11.0,10.0,1.0,1.4
36,10.8,2.0,1.2,1.1
37,12.0,3.0,0,1.1
38,9.4,13.2,1.2,0.3
39,6.0,12.0,1.6,1.8
40,6.0,10.0,7.3,0
41,2.4,3.4,1.5,1.6
42,3.0,2.8,1.1,0.2
43,3.2,3.8,1.8,0.2
44,4.2,9.6,1.7,1.5
45,10.0,6.0,2.1,1.3
46,10.2,8.4,1.3,6.9
47,10.0,3.0,1.9,0.7
48,9.6,4.2,2.0,0.1
49,2.4,7.6,0,1.9
50,3.0,11.2,2.2,0
51,5.8,7.8,1.2,1.0
52,10.8,7.6,1.9,0.7
53,11.0,11.4,2.2,1.0
54,13.4,8.2,1.6,0.5
55,8.0,8.0,0,0
