0,12.2,7.4,0,0
1,18.6,11.4,2.3,2.1
2,3.0,13.4,3.7,7.1
3,4.6,8.6,1.2,1.5
4,10.6,1.0,0.6,0.1
5,2.6,15.0,2.2,0.7
6,5.8,14.6,0,0.2
7,9.4,7.4,6.4,3.7
8,4.6,14.2,1.2,1.0
9,13.4,9.0,1.1,0
10,4.2,9.8,0.7,2.2
11,18.6,8.6,1.2,1.3
12,13.4,2.6,0.8,0.9
13,13.8,5.0,0,1.4
14,10.6,7.0,3.0,8.9
15,5.0,7.8,1.6,1.9
16,17.0,13.8,1.6,1.5
17,16.2,5.4,0.4,0.5
18,15.4,15.8,0.9,0.2
19,9.0,8.6,1.8,0
20,6.2,15.0,1.4,1.7
21,9.8,19.8,1.0,1.3
22,12.6,1.8,0,0.3
23,9.4,7.4,2.2,1.4
24,6.6,9.4,1.9,2.1
25,7.8,13.8,0.9,1.8
26,9.8,0.6,1.8,1.1
27,9.8,17.4,0.2,2.1
28,17.4,7.8,1.8,0.6
29,7.4,18.2,1.1,0
30,3.8,6.6,1.9,1.7
31,19.4,7.0,1.8,1.9
32,6.2,1.0,1.5,0.7
33,7.0,5.0,0.4,2.0
34,15.8,12.2,1.2,1.9
35,14.6,14.6,0.8,0.8
36,7.0,19.0,1.8,1.1
37,1.0,8.6,0,2.0
38,3.8,9.0,7.2,2.0
39,14.2,7.8,0.2,0
40,7.0,12.6,0.5,0.1
41,5.4,14.6,1.4,0.9
42,6.2,4.2,1.1,0.6
43,9.4,1.8,1.9,1.8
44,17.4,9.0,1.6,0.6
45,0.2,9.8,1.9,2.2
46,0.2,15.4,2.3,7.3
47,12.6,14.6,1.2,1.1
48,15.8,14.2,0,0.9
49,4.2,11.0,2.0,0
50,13.0,4.6,0.7,1.3
51,13.0,9.4,1.3,2.1
52,19.4,4.6,1.6,1.5
53,4.6,14.2,2.3,0.1
54,1.0,16.2,2.2,1.4
55,10.6,5.4,1.8,0.8
56,11.4,17.0,0.6,0.1
57,17.8,4.6,0,1.4
58,10.2,13.0,7.7,2.8
59,2.6,9.8,0.9,0
60,18.2,8.2,1.5,0.9
61,12.2,7.4,0,0
